DATE,품목명,총반입량,전일대비_반입량차이,전일대비_반입량변화율(%)
2023-09-13,토마토,180,58.0,47.540983606557376
2023-09-12,토마토,139,-41.0,-22.77777777777778
2023-09-11,토마토,199,60.0,43.16546762589928
2023-09-09,토마토,136,-63.0,-31.65829145728643
2023-09-08,토마토,131,-5.0,-3.6764705882352944
2023-09-07,토마토,103,-28.0,-21.374045801526716
2023-09-06,토마토,122,19.0,18.446601941747574
2023-09-05,토마토,116,-6.0,-4.918032786885246
2023-09-04,토마토,173,57.0,49.137931034482754
2023-09-02,토마토,162,-11.0,-6.358381502890173
2023-09-01,토마토,143,-19.0,-11.728395061728394
2023-08-31,토마토,125,-18.0,-12.587412587412588
2023-08-30,토마토,133,8.0,6.4
2023-08-29,토마토,103,-30.0,-22.55639097744361
2023-08-28,토마토,253,150.0,145.63106796116506
2023-08-26,토마토,145,-108.0,-42.68774703557312
2023-08-25,토마토,132,-13.0,-8.96551724137931
2023-08-24,토마토,119,-13.0,-9.848484848484848
2023-08-23,토마토,123,4.0,3.361344537815126
2023-08-22,토마토,123,0.0,0.0
2023-08-21,토마토,181,58.0,47.15447154471545
2023-08-19,토마토,108,-73.0,-40.331491712707184
2023-08-18,토마토,124,16.0,14.814814814814813
2023-08-17,토마토,137,13.0,10.483870967741936
2023-08-16,토마토,160,23.0,16.78832116788321
2023-08-15,토마토,204,44.0,27.500000000000004
2023-08-14,토마토,203,-1.0,-0.49019607843137253
2023-08-12,토마토,204,1.0,0.49261083743842365
2023-08-11,토마토,167,-37.0,-18.137254901960784
2023-08-10,토마토,163,-4.0,-2.3952095808383236
2023-08-09,토마토,186,23.0,14.11042944785276
2023-08-08,토마토,173,-13.0,-6.989247311827956
2023-08-07,토마토,271,98.0,56.64739884393064
2023-08-04,토마토,180,-91.0,-33.579335793357934
2023-08-03,토마토,156,-24.0,-13.333333333333334
2023-08-02,토마토,149,-7.0,-4.487179487179487
2023-08-01,토마토,134,-15.0,-10.06711409395973
2023-07-31,토마토,189,55.0,41.04477611940299
2023-07-29,토마토,133,-56.0,-29.629629629629626
2023-07-28,토마토,163,30.0,22.55639097744361
2023-07-27,토마토,144,-19.0,-11.65644171779141
2023-07-26,토마토,174,30.0,20.833333333333336
2023-07-25,토마토,123,-51.0,-29.310344827586203
2023-07-24,토마토,162,39.0,31.70731707317073
2023-07-22,토마토,122,-40.0,-24.691358024691358
2023-07-21,토마토,172,50.0,40.98360655737705
2023-07-20,토마토,133,-39.0,-22.674418604651162
2023-07-19,토마토,151,18.0,13.533834586466165
2023-07-18,토마토,185,34.0,22.516556291390728
2023-07-17,토마토,193,8.0,4.324324324324325
2023-07-15,토마토,155,-38.0,-19.689119170984455
2023-07-14,토마토,132,-23.0,-14.838709677419354
2023-07-13,토마토,134,2.0,1.5151515151515151
2023-07-12,토마토,128,-6.0,-4.477611940298507
2023-07-11,토마토,123,-5.0,-3.90625
2023-07-10,토마토,178,55.0,44.71544715447154
2023-07-08,토마토,153,-25.0,-14.04494382022472
2023-07-07,토마토,162,9.0,5.88235294117647
2023-07-06,토마토,133,-29.0,-17.901234567901234
2023-07-05,토마토,120,-13.0,-9.774436090225564
